,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene
NP025B_scene1_cell29,210.0,1660.1285714285714,34803.9,0.9186256637418788,NP025B_scene1
NP025B_scene1_cell30,272.0,1671.5404411764707,35802.94117647059,0.6905230410526617,NP025B_scene1
NP025B_scene1_cell31,119.0,1673.3025210084033,35920.09243697479,0.8035088338776951,NP025B_scene1
NP025B_scene1_cell32,316.0,1686.9367088607596,34161.73734177216,0.8112765885341386,NP025B_scene1
NP025B_scene1_cell33,222.0,1687.3603603603603,34409.27477477478,0.8314440909015831,NP025B_scene1
NP025B_scene1_cell34,195.0,1700.7282051282052,35412.8,0.7942364651687057,NP025B_scene1
NP025B_scene1_cell35,133.0,1706.3684210526314,36441.01503759399,0.9158380531964008,NP025B_scene1
NP025B_scene1_cell36,284.0,1708.341549295775,36307.43661971831,0.4871643979362584,NP025B_scene1
NP025B_scene1_cell37,214.0,1708.696261682243,34507.35514018692,0.7970199532778368,NP025B_scene1
NP025B_scene1_cell38,142.0,1712.2042253521124,36416.39436619719,0.8565423978288457,NP025B_scene1
NP025B_scene1_cell39,140.0,1717.4,34751.24285714285,0.5787071791893049,NP025B_scene1
NP025B_scene1_cell40,160.0,1717.225,34765.0875,0.701741522240746,NP025B_scene1
NP025B_scene1_cell41,104.0,1720.3076923076926,34782.25,0.6346534533432928,NP025B_scene1
NP025B_scene1_cell42,137.0,1721.8175182481752,34703.43065693431,0.3681399489339201,NP025B_scene1
NP025B_scene1_cell43,135.0,1727.2296296296295,36202.48148148148,0.8063771288097771,NP025B_scene1
NP025B_scene1_cell44,151.0,1729.3046357615895,34730.443708609266,0.3795658867879296,NP025B_scene1
NP025B_scene1_cell45,178.0,1732.5674157303372,34695.651685393255,0.8887376487775533,NP025B_scene1
NP025B_scene1_cell46,162.0,1735.29012345679,34716.067901234564,0.38774551864979145,NP025B_scene1
NP025B_scene1_cell47,134.0,1740.2761194029852,34682.14179104478,0.3589577490170688,NP025B_scene1
NP025B_scene1_cell48,63.0,1743.7777777777776,35290.142857142855,0.7839298022579193,NP025B_scene1
NP025B_scene1_cell49,215.0,1750.2186046511627,35881.204651162785,0.5963645876463982,NP025B_scene1
NP025B_scene1_cell50,307.0,1753.6058631921826,35990.6351791531,0.5749730654758411,NP025B_scene1
NP025B_scene1_cell51,396.0,1760.2954545454545,35652.744949494954,0.8610936951077026,NP025B_scene1
NP025B_scene1_cell52,119.0,1768.2100840336136,36359.857142857145,0.34636595283563537,NP025B_scene1
NP025B_scene1_cell53,99.0,1767.080808080808,36410.19191919192,0.6218201593465075,NP025B_scene1
NP025B_scene1_cell54,44.0,1776.159090909091,35639.52272727273,0.8737013973547373,NP025B_scene1
NP025B_scene1_cell55,221.0,1777.868778280543,34401.579185520364,0.9378545975122132,NP025B_scene1
NP025B_scene1_cell56,163.0,1779.515337423313,34569.018404907976,0.6909216136747157,NP025B_scene1
NP025B_scene1_cell57,192.0,1783.723958333333,36000.057291666664,0.7713893429420037,NP025B_scene1
NP025B_scene1_cell58,175.0,1793.2914285714285,34513.58857142857,0.7331934753885571,NP025B_scene1
NP025B_scene1_cell59,118.0,1822.5084745762713,34360.872881355936,0.8043363225672565,NP025B_scene1
NP025B_scene1_cell60,310.0,1833.3,34339.735483870965,0.9461631051531932,NP025B_scene1
NP025B_scene1_cell61,173.0,1848.763005780347,34383.104046242785,0.492649513465557,NP025B_scene1
