,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
HER2B-K172_scene10_cell5409,571,5944.525394045533,4594.873905429073,0.6845288437843352,HER2B-K172_scene10,5409
HER2B-K172_scene10_cell5412,220,5947.731818181816,3917.277272727273,0.9419844085677066,HER2B-K172_scene10,5412
HER2B-K172_scene10_cell5413,1167,5949.187660668383,4167.077977720652,0.7354423567295458,HER2B-K172_scene10,5413
HER2B-K172_scene10_cell5415,389,5953.208226221079,3973.298200514139,0.6549451059592494,HER2B-K172_scene10,5415
HER2B-K172_scene10_cell5421,484,5960.175619834711,4728.3512396694205,0.452763577373565,HER2B-K172_scene10,5421
HER2B-K172_scene10_cell5422,248,5960.818548387098,1544.6693548387098,0.6201602781663451,HER2B-K172_scene10,5422
HER2B-K172_scene10_cell5424,316,5963.588607594937,4352.674050632912,0.7466216327744706,HER2B-K172_scene10,5424
HER2B-K172_scene10_cell5426,571,5964.826619964973,4060.495621716287,0.6065932147990905,HER2B-K172_scene10,5426
HER2B-K172_scene10_cell5427,769,5965.772431729519,4270.885565669701,0.4804117297858682,HER2B-K172_scene10,5427
HER2B-K172_scene10_cell5428,634,5967.06309148265,4095.2728706624607,0.7670597130078417,HER2B-K172_scene10,5428
HER2B-K172_scene10_cell5429,637,5967.540031397174,4493.180533751963,0.6533569161179771,HER2B-K172_scene10,5429
HER2B-K172_scene10_cell5430,328,5966.515243902439,4510.835365853659,0.7656246622534189,HER2B-K172_scene10,5430
HER2B-K172_scene10_cell5432,986,5968.635902636916,4545.708924949289,0.8904196374718605,HER2B-K172_scene10,5432
HER2B-K172_scene10_cell5438,242,5972.363636363636,1638.3388429752067,0.7762815540863633,HER2B-K172_scene10,5438
HER2B-K172_scene10_cell5445,692,5977.794797687861,4850.686416184971,0.8493630603870936,HER2B-K172_scene10,5445
HER2B-K172_scene10_cell5447,183,5981.601092896176,1521.0983606557377,0.4482254878372605,HER2B-K172_scene10,5447
HER2B-K172_scene10_cell5448,539,5983.137291280148,1701.1484230055662,0.6412887859152323,HER2B-K172_scene10,5448
HER2B-K172_scene10_cell5450,548,5985.226277372263,4626.824817518248,0.6297201431676024,HER2B-K172_scene10,5450
HER2B-K172_scene10_cell5454,646,5986.427244582043,4046.1919504643956,0.680234616669881,HER2B-K172_scene10,5454
HER2B-K172_scene10_cell5455,743,5987.016150740243,4915.176312247645,0.6658370668894694,HER2B-K172_scene10,5455
HER2B-K172_scene10_cell5458,883,5987.183465458665,4348.8267270668175,0.7228573613132133,HER2B-K172_scene10,5458
HER2B-K172_scene10_cell5463,400,5992.9325,1490.175,0.5475419861468489,HER2B-K172_scene10,5463
HER2B-K172_scene10_cell5466,625,5993.951999999998,4600.7696,0.2460252100103142,HER2B-K172_scene10,5466
HER2B-K172_scene10_cell5467,515,5996.312621359222,4310.285436893204,0.6309958974115579,HER2B-K172_scene10,5467
HER2B-K172_scene10_cell5469,490,5998.463265306123,1581.4040816326528,0.8353036396762072,HER2B-K172_scene10,5469
HER2B-K172_scene10_cell5471,613,6000.061990212072,1300.468189233279,0.8068036189018427,HER2B-K172_scene10,5471
HER2B-K172_scene10_cell5477,1078,6007.799628942486,1715.0473098330242,0.8363260752090014,HER2B-K172_scene10,5477
HER2B-K172_scene10_cell5479,112,6009.616071428572,1549.3660714285709,0.5405079598744041,HER2B-K172_scene10,5479
HER2B-K172_scene10_cell5481,223,6010.340807174888,1227.2600896860986,0.6067475813492155,HER2B-K172_scene10,5481
HER2B-K172_scene10_cell5483,613,6007.430668841762,3865.7030995106043,0.8610534783210426,HER2B-K172_scene10,5483
HER2B-K172_scene10_cell5485,521,6010.725527831094,3801.4875239923217,0.8826955714874383,HER2B-K172_scene10,5485
HER2B-K172_scene10_cell5486,431,6011.888631090487,1528.5800464037122,0.7140313913463847,HER2B-K172_scene10,5486
HER2B-K172_scene10_cell5490,566,6013.713780918728,1469.4929328621909,0.8514919016739745,HER2B-K172_scene10,5490
HER2B-K172_scene10_cell5491,475,6012.442105263158,3926.926315789474,0.8953702346946752,HER2B-K172_scene10,5491
HER2B-K172_scene10_cell5493,732,6019.158469945355,3654.191256830601,0.8675397959646678,HER2B-K172_scene10,5493
HER2B-K172_scene10_cell5494,694,6019.770893371758,4622.051873198849,0.7848527733340254,HER2B-K172_scene10,5494
HER2B-K172_scene10_cell5495,796,6020.231155778894,1669.6494974874372,0.7228421635555062,HER2B-K172_scene10,5495
HER2B-K172_scene10_cell5498,97,6021.7525773195875,4342.608247422681,0.4971003304304617,HER2B-K172_scene10,5498
HER2B-K172_scene10_cell5499,248,6021.552419354839,4669.491935483871,0.7958086095895991,HER2B-K172_scene10,5499
HER2B-K172_scene10_cell5502,749,6023.806408544727,3846.795727636849,0.6069746969282123,HER2B-K172_scene10,5502
HER2B-K172_scene10_cell5503,322,6024.860248447205,1557.9751552795028,0.6670164063744686,HER2B-K172_scene10,5503
HER2B-K172_scene10_cell5516,723,6033.622406639004,1438.9585062240665,0.6824109554992476,HER2B-K172_scene10,5516
HER2B-K172_scene10_cell5519,839,6035.742550655542,4393.082240762813,0.5937190548653356,HER2B-K172_scene10,5519
HER2B-K172_scene10_cell5524,438,6038.58904109589,4600.98401826484,0.6118870492749916,HER2B-K172_scene10,5524
HER2B-K172_scene10_cell5528,502,6041.671314741036,4417.8286852589645,0.5928214242280396,HER2B-K172_scene10,5528
HER2B-K172_scene10_cell5529,334,6043.038922155689,4703.404191616766,0.8750575292821025,HER2B-K172_scene10,5529
HER2B-K172_scene10_cell5531,334,6045.062874251496,1623.1556886227545,0.4284549294800283,HER2B-K172_scene10,5531
HER2B-K172_scene10_cell5533,630,6045.065079365079,4558.760317460316,0.7425599414936144,HER2B-K172_scene10,5533
