index	CellProlif_slide	DiffState_slide	DiffStateHRStatus_slide	HRStatus_slide	ImmuneFunc_slide	ImmuneType_slide	MainStromal_slide	StromalType_slide	Tcell_Immune_slide	TumorProlif_slide	celltype_slide	proliferation_slide
NP025B	1.377031747657432	0.25830780658597324	0.9409308839476572	0.6879386324598862	1.6988560547487954	1.597286533856501	0.0868764052002299	0.09808703983522356	1.2826318764101408	1.5032658189629349	1.3658778077842253	0.012311486780836585
NP026	2.026489199909433	0.15241350796785785	0.8894701734372154	0.7391583936547671	1.3724555583708815	0.9755120344138596	0.5946870146659913	0.8978227693326691	0.785211121588519	1.6362339161681752	1.8552081346266325	0.2595386304662385
NP027	2.0875399644255217	0.22503682324094293	0.5119444355800608	0.3853829368397375	0.9887381990623209	0.6299348346469787	0.7699932817532825	1.07176310851392	0.963826188990865	2.402713141172093	1.6454329210135281	0.5495296581366363
NP028	2.3189038455752176	0.5677360828672713	0.8891096786334001	0.4878430154812216	1.7471456336319222	1.0484552105559894	0.5494184239460613	0.6500848348176075	1.0849697588990843	2.3197357223140926	1.6630170739462322	0.7446224949229191
NP029	2.148807219672903	0.15197055351734026	0.5964507150618561	0.456668893789969	1.3987098613150015	0.8550063347083844	0.3697158493516879	0.4202078913446727	1.0022824241668156	2.8447725982542664	1.8805783680926933	0.3126600906534444
NP030B	1.9258331940557343	0.4655746679862848	0.9706905861728228	0.5584862257901401	1.6327467649212684	1.3926642293886522	0.565321028331398	0.6322713706996365	1.4018050180611752	2.226643042213271	1.7698638411708352	0.3719335635004277
NP031	1.0381133177041484	1.21721559475336	1.9546842827087207	1.1349152146726271	1.5099474050602821	1.4480982247399696	0.8226219670441175	0.9469658582125796	0.8269553792339367	1.1276391694535923	0.9989902742754236	0.04783744742770095
NP032	1.6015889224149198	0.4270905064860832	1.4702886352976516	1.109108731549498	0.9478638034089734	0.7863469088138371	0.27463510847600897	0.3297536315742665	0.2512959569834994	0.9871727192062772	1.502027119682828	0.10821395719996116
NP033B	1.8888867623602796	1.2382997899674713	2.089452046114504	0.8570227203636153	2.206105670570909	1.17804221156095	0.3349522890676735	0.3928389358337373	1.9552696474776496	2.328097253837873	1.7444023313037291	0.3618399780979848
NP034	1.8118992383760928	1.042855338703687	1.7568002429551148	0.9156944274084332	1.482326493773261	1.5341294863593629	0.8365394331167878	0.9676510185646012	0.7990890464192428	2.0811222607135944	1.553354925390786	0.29171819545439137
NP035	2.074237873200732	1.3178266583543377	1.6488424977030145	0.33868992325501657	1.4754501359473202	0.3660587595851103	0.5181706174505656	0.6532237579687257	1.0189803524929912	2.3939705312517594	1.6318466006319725	0.5082062834840126
NP036	1.934001665869268	1.3406949709639966	1.8472953409799724	0.6016453107706728	1.819829181516473	1.0038674562501022	0.7400943412837606	0.9149076508590532	1.3846570805079277	2.308208013888792	1.4281635618370432	0.5770258871518034
